idx,NUM_LAYER,LAYER_TYPE,INPX_BUF_MODE,WT_BUF_MODE,OUTPX_BUF_MODE,PAD,STRIDE,RDADDR_ROTATE_EN,TIX,TIY,TIF,TOF,WITH_RELU,WITH_BIAS,INBUF_RDADDR_KEY,KX_KY,NKX,NKY,PAD_DIV_STRIDE,LBUF_WREN,LBUF_RDEN,TOY_IS_NOY,MAX_PAD_STR,TOX_GRP,TOY_GRP,TOF_GRP,TOXDMA_GRP,END_TOYPAD,END_NOYPAD,PAD_E_CV_POX,PAD_S_CV_POY,PAD_E_CV_NKX,PAD_S_CV_NKY,PAD_N_CV_POY,PAD_N_CV_NKY,PAD_E_END_PLMX,PAD_S_END_PLMX,NUM_TIXGRP_PLMX,TIXGRP1ST_PLMX,TIXY1ST_PLMX,LOC_PAD_E_PL,LOC_PAD_S_PL,WORDS_RDPX,WORDS_WRPX,NUM_ROWSTR,END_ROW,END_ROW_STR,TOF1OUPX_BSCV,ACCU_TOF_BSCV,NOY_GRP,NOF_GRP,TIX1POX_STR,TIX1POX_TIY1POY,END_ROWPOY,TOXGRP_POY,TOXGRP_TOY,KX_KY_TIF,KKNIF_DELAY,MACOUT_RSBIT,INPX_LAYER_ID_0,INPX_LAYER_ID_1,INPX_LAYER_ID_2,INPX_LAYER_ID_3,INPX_LAYER_ID_4,INPX_LAYER_ID_5,INPX_LAYER_ID_6,INPX_LAYER_ID_7,INPX_LAYER_ID_8,INPX_LAYER_ID_9,INPX_LAYER_ID_10,INPX_LAYER_ID_11,INPX_LAYER_ID_12,INPX_LAYER_ID_13,INPX_LAYER_ID_14,INPX_LAYER_ID_15,INPX_NUM_LAYER,INPX_CMD_SIZE,INPX_ADDR_ADJUST,WT_ADDR,WT_CMD_SIZE,OUTPX_ADDR,OUTPX_CMD_SIZE,NUM_TIF,NUM_TOY,NUM_TOF,NUM_TBX,OFFSET_TIY,OFFSET_WT_TOF,OFFSET_TOY,OFFSET_TOF,OFFSET_OF,BUFS_PXIN_DEPTHS,BUFS_PXOU_DEPTHS,NUM_ADDRS_1BOX_M1,NIX_NUM_ADDRS,NUM_VALID_PX_M1,NUM_BOX_1BUF_M1,NUM_NIX_INPX2,NIF_FCON_M1,NOF1POF_FCON_M1,ROI_TILES_FCON_M1,DIVISION_GAP,NUM_DDR_WORDS_GAP,NUM_SKIP_RDADDR_WORDS_GAP,NUM_VALID_RDADDR_WORDS_GAP,SPATIAL_SCALE,POOL_SIZE,GRID_DIVISION_EQUIVALENT,NUM_FRACTIONAL_BITS,NUM_CHANNELS,NUM_CHANNELS_PER_BUFFER,CH_HEIGHT_ROIPL,CH_WIDTH_ROIPL,IMG_W,IMG_H,MIN_W,MIN_H,CH_HEIGHT_PROP,CH_WIDTH_PROP,NUM_ANCHORS,NUM_ANCHORS_PER_BUFFER,NUM_STDDEV,NMS_THRESHOLD,NUM_POST_NMS,DIV_BY_N,ANCHOR_CTR_X,ANCHOR_CTR_Y,ANCHOR_W_0,ANCHOR_W_1,ANCHOR_W_2,ANCHOR_W_3,ANCHOR_W_4,ANCHOR_W_5,ANCHOR_W_6,ANCHOR_W_7,ANCHOR_W_8,ANCHOR_W_9,ANCHOR_W_10,ANCHOR_W_11,ANCHOR_W_12,ANCHOR_W_13,ANCHOR_W_14,ANCHOR_W_15,ANCHOR_W_16,ANCHOR_W_17,ANCHOR_W_18,ANCHOR_W_19,ANCHOR_W_20,ANCHOR_W_21,ANCHOR_W_22,ANCHOR_W_23,ANCHOR_W_24,ANCHOR_W_25,ANCHOR_W_26,ANCHOR_W_27,ANCHOR_W_28,ANCHOR_W_29,ANCHOR_W_30,ANCHOR_W_31,ANCHOR_W_32,ANCHOR_W_33,ANCHOR_W_34,ANCHOR_W_35,ANCHOR_W_36,ANCHOR_W_37,ANCHOR_W_38,ANCHOR_W_39,ANCHOR_W_40,ANCHOR_W_41,ANCHOR_W_42,ANCHOR_W_43,ANCHOR_W_44,ANCHOR_W_45,ANCHOR_W_46,ANCHOR_W_47,ANCHOR_W_48,ANCHOR_W_49,ANCHOR_W_50,ANCHOR_W_51,ANCHOR_W_52,ANCHOR_W_53,ANCHOR_W_54,ANCHOR_W_55,ANCHOR_W_56,ANCHOR_W_57,ANCHOR_W_58,ANCHOR_W_59,ANCHOR_W_60,ANCHOR_W_61,ANCHOR_W_62,ANCHOR_W_63,ANCHOR_H_0,ANCHOR_H_1,ANCHOR_H_2,ANCHOR_H_3,ANCHOR_H_4,ANCHOR_H_5,ANCHOR_H_6,ANCHOR_H_7,ANCHOR_H_8,ANCHOR_H_9,ANCHOR_H_10,ANCHOR_H_11,ANCHOR_H_12,ANCHOR_H_13,ANCHOR_H_14,ANCHOR_H_15,ANCHOR_H_16,ANCHOR_H_17,ANCHOR_H_18,ANCHOR_H_19,ANCHOR_H_20,ANCHOR_H_21,ANCHOR_H_22,ANCHOR_H_23,ANCHOR_H_24,ANCHOR_H_25,ANCHOR_H_26,ANCHOR_H_27,ANCHOR_H_28,ANCHOR_H_29,ANCHOR_H_30,ANCHOR_H_31,ANCHOR_H_32,ANCHOR_H_33,ANCHOR_H_34,ANCHOR_H_35,ANCHOR_H_36,ANCHOR_H_37,ANCHOR_H_38,ANCHOR_H_39,ANCHOR_H_40,ANCHOR_H_41,ANCHOR_H_42,ANCHOR_H_43,ANCHOR_H_44,ANCHOR_H_45,ANCHOR_H_46,ANCHOR_H_47,ANCHOR_H_48,ANCHOR_H_49,ANCHOR_H_50,ANCHOR_H_51,ANCHOR_H_52,ANCHOR_H_53,ANCHOR_H_54,ANCHOR_H_55,ANCHOR_H_56,ANCHOR_H_57,ANCHOR_H_58,ANCHOR_H_59,ANCHOR_H_60,ANCHOR_H_61,ANCHOR_H_62,ANCHOR_H_63,
1,28,0,0,0,0,1,2,1,1080,17,5,64,1,1,68,8,2,2,0,3,6,0,1,67,0,1,68,0,119,0,0,0,0,1,1,0,0,0,0,0,0,0,0,135,68,33,67,8,0,119,0,136,272,5,544,544,45,57,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18360,1088,0,2880,0,4320,1,120,1,1,17408,2880,4352,33423360,522240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,28,2,0,0,0,0,2,0,544,65,8,8,0,0,0,0,2,2,0,0,0,0,0,8,31,0,0,0,0,0,0,0,0,0,0,8,31,17,9,553,8192,1,1.095875e+03,269,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35100,0,0,0,33423360,8640,8,15,8,1,34816,0,8640,1105920,138240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,28,0,0,0,0,0,1,0,270,8,64,32,1,1,36,0,0,0,0,0,1,0,0,33,0,0,36,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,9,8,8,4,8,59,0,36,36,63,288,288,64,76,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2160,0,2880,2048,42270720,2160,1,60,1,1,2304,2048,2304,4423680,138240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,28,0,0,0,0,0,1,0,270,8,38,64,1,1,36,0,0,0,0,0,1,0,0,33,0,1,36,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,9,8,8,8,12,59,0,36,36,15,288,288,38,50,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2160,0,4928,2432,46694400,2160,1,60,1,1,2304,2432,2304,8847360,138240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,28,0,0,0,0,1,1,0,270,10,16,64,1,1,36,8,2,2,1,6,3,0,0,33,0,1,36,0,59,32,128,0,0,1,1,0,0,0,0,0,0,0,0,71,9,8,8,8,20,59,0,36,72,31,288,288,144,156,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2700,288,7360,9216,55541760,2160,1,60,1,1,2304,9216,2304,8847360,138240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,28,0,0,0,0,0,1,0,270,8,128,32,1,1,36,0,0,0,0,0,1,0,0,33,0,0,36,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,9,8,8,4,28,59,0,36,36,127,288,288,128,140,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2160,0,16576,4096,64389120,2160,1,60,1,1,2304,4096,2304,4423680,138240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,28,0,0,0,0,0,1,0,270,8,38,64,1,1,36,0,0,0,0,0,1,0,0,33,0,1,36,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,9,8,8,8,32,59,0,36,36,15,288,288,38,50,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2160,0,20672,2432,68812800,2160,1,60,1,1,2304,2432,2304,8847360,138240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,28,0,0,0,0,1,1,0,270,10,16,64,1,1,36,8,2,2,1,6,3,0,0,33,0,1,36,0,59,32,128,0,0,1,1,0,0,0,0,0,0,0,0,71,9,8,8,8,40,59,0,36,72,31,288,288,144,156,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2700,288,23104,9216,77660160,2160,1,60,1,1,2304,9216,2304,8847360,138240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,28,2,0,0,0,0,2,0,288,65,8,8,0,0,0,0,2,2,0,0,0,0,0,4,31,0,0,0,0,0,0,0,0,0,0,4,15,9,5,293,64,1,5.474375e+02,134,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17550,0,0,0,86507520,4320,16,8,16,1,18432,0,4320,327680,40960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,28,0,0,0,0,0,1,0,135,8,128,32,1,1,20,0,0,0,0,0,1,0,0,16,0,0,20,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,4,4,4,48,29,0,20,20,127,160,160,128,140,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1080,0,32320,4096,91750400,1080,1,30,1,1,1280,4096,1280,1228800,38400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
